cve_entidad,entidad,periodo,categoria,sexo,cve_municipio,municipio,conteo,consultado_en
31,YUCATAN,2019-02,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,31050,MÉRIDA,1,2026-07-09
31,YUCATAN,2019-02,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,31107,SE DESCONOCE,1,2026-07-09
31,YUCATAN,2019-02,LOCALIZADA_CON_VIDA,HOMBRE,31001,ABALÁ,1,2026-07-09
31,YUCATAN,2019-02,LOCALIZADA_CON_VIDA,MUJER,31032,ESPITA,1,2026-07-09
31,YUCATAN,2019-02,LOCALIZADA_CON_VIDA,MUJER,31038,HUNUCMÁ,1,2026-07-09
31,YUCATAN,2019-02,LOCALIZADA_CON_VIDA,HOMBRE,31041,KANASÍN,1,2026-07-09
31,YUCATAN,2019-02,LOCALIZADA_CON_VIDA,MUJER,31041,KANASÍN,10,2026-07-09
31,YUCATAN,2019-02,LOCALIZADA_CON_VIDA,HOMBRE,31048,MAXCANÚ,1,2026-07-09
31,YUCATAN,2019-02,LOCALIZADA_CON_VIDA,HOMBRE,31050,MÉRIDA,10,2026-07-09
31,YUCATAN,2019-02,LOCALIZADA_CON_VIDA,MUJER,31050,MÉRIDA,19,2026-07-09
31,YUCATAN,2019-02,LOCALIZADA_CON_VIDA,MUJER,31052,MOTUL,1,2026-07-09
31,YUCATAN,2019-02,LOCALIZADA_CON_VIDA,MUJER,31061,RÍO LAGARTOS,1,2026-07-09
31,YUCATAN,2019-02,LOCALIZADA_CON_VIDA,MUJER,31098,TZUCACAB,1,2026-07-09
31,YUCATAN,2019-02,LOCALIZADA_CON_VIDA,MUJER,31102,VALLADOLID,1,2026-07-09
31,YUCATAN,2019-02,LOCALIZADA_SIN_VIDA,HOMBRE,31107,SE DESCONOCE,1,2026-07-09
