cve_entidad,entidad,periodo,categoria,sexo,cve_municipio,municipio,conteo,consultado_en
01,AGUASCALIENTES,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01001,AGUASCALIENTES,2,2026-07-09
01,AGUASCALIENTES,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,01001,AGUASCALIENTES,21,2026-07-09
01,AGUASCALIENTES,2018-12,LOCALIZADA_CON_VIDA,MUJER,01001,AGUASCALIENTES,13,2026-07-09
01,AGUASCALIENTES,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,01003,CALVILLO,1,2026-07-09
01,AGUASCALIENTES,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,01006,PABELLÓN DE ARTEAGA,2,2026-07-09
01,AGUASCALIENTES,2018-12,LOCALIZADA_CON_VIDA,MUJER,01006,PABELLÓN DE ARTEAGA,1,2026-07-09
01,AGUASCALIENTES,2018-12,LOCALIZADA_SIN_VIDA,HOMBRE,01001,AGUASCALIENTES,2,2026-07-09
02,BAJA CALIFORNIA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,02004,TIJUANA,1,2026-07-09
02,BAJA CALIFORNIA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,02004,TIJUANA,1,2026-07-09
02,BAJA CALIFORNIA,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,02004,TIJUANA,1,2026-07-09
03,BAJA CALIFORNIA SUR,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,03002,MULEGÉ,2,2026-07-09
03,BAJA CALIFORNIA SUR,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,03003,LA PAZ,2,2026-07-09
03,BAJA CALIFORNIA SUR,2018-12,LOCALIZADA_SIN_VIDA,HOMBRE,03001,COMONDÚ,1,2026-07-09
05,COAHUILA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,05003,ALLENDE,2,2026-07-09
05,COAHUILA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,05005,CANDELA,1,2026-07-09
05,COAHUILA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,05018,MONCLOVA,1,2026-07-09
05,COAHUILA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,05025,PIEDRAS NEGRAS,1,2026-07-09
05,COAHUILA,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,05018,MONCLOVA,1,2026-07-09
06,COLIMA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,06001,ARMERÍA,1,2026-07-09
06,COLIMA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,06002,COLIMA,1,2026-07-09
06,COLIMA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,06005,CUAUHTÉMOC,1,2026-07-09
06,COLIMA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,06009,TECOMÁN,4,2026-07-09
06,COLIMA,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,06009,TECOMÁN,1,2026-07-09
06,COLIMA,2018-12,LOCALIZADA_CON_VIDA,MUJER,06009,TECOMÁN,1,2026-07-09
07,CHIAPAS,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07023,CHAMULA,1,2026-07-09
07,CHIAPAS,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,07101,TUXTLA GUTIÉRREZ,1,2026-07-09
07,CHIAPAS,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07103,TUZANTÁN,1,2026-07-09
07,CHIAPAS,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,07103,TUZANTÁN,1,2026-07-09
07,CHIAPAS,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,07012,BERRIOZÁBAL,1,2026-07-09
07,CHIAPAS,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,07040,HUIXTLA,1,2026-07-09
07,CHIAPAS,2018-12,LOCALIZADA_CON_VIDA,MUJER,07053,MAZAPA DE MADERO,1,2026-07-09
07,CHIAPAS,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,07078,SAN CRISTÓBAL DE LAS CASAS,1,2026-07-09
07,CHIAPAS,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,07089,TAPACHULA,1,2026-07-09
07,CHIAPAS,2018-12,LOCALIZADA_CON_VIDA,MUJER,07094,TEOPISCA,1,2026-07-09
07,CHIAPAS,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,07101,TUXTLA GUTIÉRREZ,4,2026-07-09
07,CHIAPAS,2018-12,LOCALIZADA_CON_VIDA,MUJER,07101,TUXTLA GUTIÉRREZ,4,2026-07-09
07,CHIAPAS,2018-12,LOCALIZADA_SIN_VIDA,HOMBRE,07101,TUXTLA GUTIÉRREZ,2,2026-07-09
08,CHIHUAHUA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,08010,BUENAVENTURA,2,2026-07-09
08,CHIHUAHUA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,08017,CUAUHTÉMOC,3,2026-07-09
08,CHIHUAHUA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,08019,CHIHUAHUA,4,2026-07-09
08,CHIHUAHUA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,08019,CHIHUAHUA,1,2026-07-09
08,CHIHUAHUA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,08028,GUADALUPE,1,2026-07-09
08,CHIHUAHUA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,08032,HIDALGO DEL PARRAL,1,2026-07-09
08,CHIHUAHUA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,08036,JIMÉNEZ,1,2026-07-09
08,CHIHUAHUA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,08037,JUÁREZ,1,2026-07-09
08,CHIHUAHUA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,08037,JUÁREZ,1,2026-07-09
08,CHIHUAHUA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,08040,MADERA,1,2026-07-09
08,CHIHUAHUA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,08048,NAMIQUIPA,1,2026-07-09
08,CHIHUAHUA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,08050,NUEVO CASAS GRANDES,2,2026-07-09
08,CHIHUAHUA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,08052,OJINAGA,2,2026-07-09
08,CHIHUAHUA,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,08063,TEMÓSACHI,2,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,MUJER,08002,ALDAMA,1,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,MUJER,08009,BOCOYNA,2,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,08011,CAMARGO,1,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,MUJER,08011,CAMARGO,1,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,08017,CUAUHTÉMOC,3,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,MUJER,08017,CUAUHTÉMOC,4,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,08019,CHIHUAHUA,11,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,MUJER,08019,CHIHUAHUA,18,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,08021,DELICIAS,2,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,MUJER,08021,DELICIAS,3,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,MUJER,08027,GUACHOCHI,2,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,MUJER,08031,GUERRERO,2,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,08032,HIDALGO DEL PARRAL,1,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,MUJER,08032,HIDALGO DEL PARRAL,1,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,08037,JUÁREZ,33,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,MUJER,08037,JUÁREZ,17,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,08045,MEOQUI,1,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_CON_VIDA,MUJER,08052,OJINAGA,1,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_SIN_VIDA,HOMBRE,08037,JUÁREZ,5,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_SIN_VIDA,MUJER,08037,JUÁREZ,3,2026-07-09
08,CHIHUAHUA,2018-12,LOCALIZADA_SIN_VIDA,HOMBRE,08050,NUEVO CASAS GRANDES,1,2026-07-09
09,CIUDAD DE MEXICO,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,,SIN MUNICIPIO DE REFERENCIA,1,2026-07-09
09,CIUDAD DE MEXICO,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,09003,COYOACÁN,1,2026-07-09
09,CIUDAD DE MEXICO,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,09005,GUSTAVO A. MADERO,2,2026-07-09
09,CIUDAD DE MEXICO,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,INDETERMINADO,09007,IZTAPALAPA,2,2026-07-09
09,CIUDAD DE MEXICO,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,09010,ÁLVARO OBREGÓN,2,2026-07-09
09,CIUDAD DE MEXICO,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,09015,CUAUHTÉMOC,2,2026-07-09
09,CIUDAD DE MEXICO,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,09015,CUAUHTÉMOC,1,2026-07-09
09,CIUDAD DE MEXICO,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,INDETERMINADO,09017,VENUSTIANO CARRANZA,1,2026-07-09
09,CIUDAD DE MEXICO,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,09017,VENUSTIANO CARRANZA,1,2026-07-09
09,CIUDAD DE MEXICO,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,09018,SE DESCONOCE,1,2026-07-09
09,CIUDAD DE MEXICO,2018-12,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,09018,SE DESCONOCE,1,2026-07-09
09,CIUDAD DE MEXICO,2018-12,LOCALIZADA_CON_VIDA,INDETERMINADO,09003,COYOACÁN,1,2026-07-09
09,CIUDAD DE MEXICO,2018-12,LOCALIZADA_CON_VIDA,MUJER,09003,COYOACÁN,2,2026-07-09
09,CIUDAD DE MEXICO,2018-12,LOCALIZADA_CON_VIDA,MUJER,09004,CUAJIMALPA DE MORELOS,2,2026-07-09
09,CIUDAD DE MEXICO,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,09005,GUSTAVO A. MADERO,1,2026-07-09
09,CIUDAD DE MEXICO,2018-12,LOCALIZADA_CON_VIDA,MUJER,09005,GUSTAVO A. MADERO,2,2026-07-09
09,CIUDAD DE MEXICO,2018-12,LOCALIZADA_CON_VIDA,HOMBRE,09006,IZTACALCO,3,2026-07-09
09,CIUDAD DE MEXICO,2018-12,LOCALIZADA_CON_VIDA,INDETERMINADO,09006,IZTACALCO,1,2026-07-09
